sl_no;gender;ssc_p;ssc_b;hsc_p;hsc_b;hsc_s;degree_p;degree_t;workex;etest_p;specialisation;mba_p;status;salary
47;F;70.89;Others;71.98;Others;Science;65.60;Comm&Mgmt;No;68;Mkt&HR;71.63;No;
48;M;63.00;Central;60.00;Central;Commerce;57.00;Comm&Mgmt;Yes;78;Mkt&Fin;54.55;Yes;204000
49;M;63.00;Others;62.00;Others;Commerce;68.00;Comm&Mgmt;No;64;Mkt&Fin;62.46;Yes;250000
50;F;50.00;Others;37.00;Others;Arts;52.00;Others;No;65;Mkt&HR;56.11;No;
51;F;75.20;Central;73.20;Central;Science;68.40;Comm&Mgmt;No;65;Mkt&HR;62.98;Yes;200000
52;M;54.40;Central;61.12;Central;Commerce;56.20;Comm&Mgmt;No;67;Mkt&HR;62.65;No;
53;F;40.89;Others;45.83;Others;Commerce;53.00;Comm&Mgmt;No;71.2;Mkt&HR;65.49;No;
54;M;80.00;Others;70.00;Others;Science;72.00;Sci&Tech;No;87;Mkt&HR;71.04;Yes;450000
55;F;74.00;Central;60.00;Others;Science;69.00;Comm&Mgmt;No;78;Mkt&HR;65.56;Yes;216000
56;M;60.40;Central;66.60;Others;Science;65.00;Comm&Mgmt;No;71;Mkt&HR;52.71;Yes;220000
57;M;63.00;Others;71.40;Others;Commerce;61.40;Comm&Mgmt;No;68;Mkt&Fin;66.88;Yes;240000
58;M;68.00;Central;76.00;Central;Commerce;74.00;Comm&Mgmt;No;80;Mkt&Fin;63.59;Yes;360000
59;M;74.00;Central;62.00;Others;Science;68.00;Comm&Mgmt;No;74;Mkt&Fin;57.99;Yes;268000
60;M;52.60;Central;65.58;Others;Science;72.11;Sci&Tech;No;57.6;Mkt&Fin;56.66;Yes;265000
61;M;74.00;Central;70.00;Central;Science;72.00;Comm&Mgmt;Yes;60;Mkt&Fin;57.24;Yes;260000
62;M;84.20;Central;73.40;Central;Commerce;66.89;Comm&Mgmt;No;61.6;Mkt&Fin;62.48;Yes;300000
63;F;86.50;Others;64.20;Others;Science;67.40;Sci&Tech;No;59;Mkt&Fin;59.69;Yes;240000
64;M;61.00;Others;70.00;Others;Commerce;64.00;Comm&Mgmt;No;68.5;Mkt&HR;59.5;No;
65;M;80.00;Others;73.00;Others;Commerce;75.00;Comm&Mgmt;No;61;Mkt&Fin;58.78;Yes;240000
66;M;54.00;Others;47.00;Others;Science;57.00;Comm&Mgmt;No;89.69;Mkt&HR;57.1;No;
67;M;83.00;Others;74.00;Others;Science;66.00;Comm&Mgmt;No;68.92;Mkt&HR;58.46;Yes;275000
68;M;80.92;Others;78.50;Others;Commerce;67.00;Comm&Mgmt;No;68.71;Mkt&Fin;60.99;Yes;275000
69;F;69.70;Central;47.00;Central;Commerce;72.70;Sci&Tech;No;79;Mkt&HR;59.24;No;
70;M;73.00;Central;73.00;Central;Science;66.00;Sci&Tech;Yes;70;Mkt&Fin;68.07;Yes;275000
71;M;82.00;Others;61.00;Others;Science;62.00;Sci&Tech;No;89;Mkt&Fin;65.45;Yes;360000
72;M;75.00;Others;70.29;Others;Commerce;71.00;Comm&Mgmt;No;95;Mkt&Fin;66.94;Yes;240000
73;M;84.86;Others;67.00;Others;Science;78.00;Comm&Mgmt;No;95.5;Mkt&Fin;68.53;Yes;240000
74;M;64.60;Central;83.83;Others;Commerce;71.72;Comm&Mgmt;No;86;Mkt&Fin;59.75;Yes;218000
75;M;56.60;Central;64.80;Central;Commerce;70.20;Comm&Mgmt;No;84.27;Mkt&Fin;67.2;Yes;336000
76;F;59.00;Central;62.00;Others;Commerce;77.50;Comm&Mgmt;No;74;Mkt&HR;67;No;
77;F;66.50;Others;70.40;Central;Arts;71.93;Comm&Mgmt;No;61;Mkt&Fin;64.27;Yes;230000
78;M;64.00;Others;80.00;Others;Science;65.00;Sci&Tech;Yes;69;Mkt&Fin;57.65;Yes;500000
79;M;84.00;Others;90.90;Others;Science;64.50;Sci&Tech;No;86.04;Mkt&Fin;59.42;Yes;270000
80;F;69.00;Central;62.00;Central;Science;66.00;Sci&Tech;No;75;Mkt&HR;67.99;No;
81;F;69.00;Others;62.00;Others;Commerce;69.00;Comm&Mgmt;Yes;67;Mkt&HR;62.35;Yes;240000
82;M;81.70;Others;63.00;Others;Science;67.00;Comm&Mgmt;Yes;86;Mkt&Fin;70.2;Yes;300000
83;M;63.00;Central;67.00;Central;Commerce;74.00;Comm&Mgmt;No;82;Mkt&Fin;60.44;No;
84;M;84.00;Others;79.00;Others;Science;68.00;Sci&Tech;Yes;84;Mkt&Fin;66.69;Yes;300000
85;M;70.00;Central;63.00;Others;Science;70.00;Sci&Tech;Yes;55;Mkt&Fin;62;Yes;300000
86;F;83.84;Others;89.83;Others;Commerce;77.20;Comm&Mgmt;Yes;78.74;Mkt&Fin;76.18;Yes;400000
87;M;62.00;Others;63.00;Others;Commerce;64.00;Comm&Mgmt;No;67;Mkt&Fin;57.03;Yes;220000
88;M;59.60;Central;51.00;Central;Science;60.00;Others;No;75;Mkt&HR;59.08;No;
89;F;66.00;Central;62.00;Central;Commerce;73.00;Comm&Mgmt;No;58;Mkt&HR;64.36;Yes;210000
90;F;84.00;Others;75.00;Others;Science;69.00;Sci&Tech;Yes;62;Mkt&HR;62.36;Yes;210000
91;F;85.00;Others;90.00;Others;Commerce;82.00;Comm&Mgmt;No;92;Mkt&Fin;68.03;Yes;300000
92;M;52.00;Central;57.00;Central;Commerce;50.80;Comm&Mgmt;No;67;Mkt&HR;62.79;No;
93;F;60.23;Central;69.00;Central;Science;66.00;Comm&Mgmt;No;72;Mkt&Fin;59.47;Yes;230000
94;M;52.00;Central;62.00;Central;Commerce;54.00;Comm&Mgmt;No;72;Mkt&HR;55.41;No;
95;M;58.00;Central;62.00;Central;Commerce;64.00;Comm&Mgmt;No;53.88;Mkt&Fin;54.97;Yes;260000
96;M;73.00;Central;78.00;Others;Commerce;65.00;Comm&Mgmt;Yes;95.46;Mkt&Fin;62.16;Yes;420000
97;F;76.00;Central;70.00;Central;Science;76.00;Comm&Mgmt;Yes;66;Mkt&Fin;64.44;Yes;300000
98;F;70.50;Central;62.50;Others;Commerce;61.00;Comm&Mgmt;No;93.91;Mkt&Fin;69.03;No;
99;F;69.00;Central;73.00;Central;Commerce;65.00;Comm&Mgmt;No;70;Mkt&Fin;57.31;Yes;220000
100;M;54.00;Central;82.00;Others;Commerce;63.00;Sci&Tech;No;50;Mkt&Fin;59.47;No;
101;F;45.00;Others;57.00;Others;Commerce;58.00;Comm&Mgmt;Yes;56.39;Mkt&HR;64.95;No;
102;M;63.00;Central;72.00;Central;Commerce;68.00;Comm&Mgmt;No;78;Mkt&HR;60.44;Yes;380000
103;F;77.00;Others;61.00;Others;Commerce;68.00;Comm&Mgmt;Yes;57.5;Mkt&Fin;61.31;Yes;300000
104;M;73.00;Central;78.00;Central;Science;73.00;Sci&Tech;Yes;85;Mkt&HR;65.83;Yes;240000
105;M;69.00;Central;63.00;Others;Science;65.00;Comm&Mgmt;Yes;55;Mkt&HR;58.23;Yes;360000
106;M;59.00;Central;64.00;Others;Science;58.00;Sci&Tech;No;85;Mkt&HR;55.3;No;
107;M;61.08;Others;50.00;Others;Science;54.00;Sci&Tech;No;71;Mkt&Fin;65.69;No;
108;M;82.00;Others;90.00;Others;Commerce;83.00;Comm&Mgmt;No;80;Mkt&HR;73.52;Yes;200000
109;M;61.00;Central;82.00;Central;Commerce;69.00;Comm&Mgmt;No;84;Mkt&Fin;58.31;Yes;300000
110;M;52.00;Central;63.00;Others;Science;65.00;Sci&Tech;Yes;86;Mkt&HR;56.09;No;
111;F;69.50;Central;70.00;Central;Science;72.00;Sci&Tech;No;57.2;Mkt&HR;54.8;Yes;250000
112;M;51.00;Others;54.00;Others;Science;61.00;Sci&Tech;No;60;Mkt&HR;60.64;No;
113;M;58.00;Others;61.00;Others;Commerce;61.00;Comm&Mgmt;No;58;Mkt&HR;53.94;Yes;250000
114;F;73.96;Others;79.00;Others;Commerce;67.00;Comm&Mgmt;No;72.15;Mkt&Fin;63.08;Yes;280000
115;M;65.00;Central;68.00;Others;Science;69.00;Comm&Mgmt;No;53.7;Mkt&HR;55.01;Yes;250000
116;F;73.00;Others;63.00;Others;Science;66.00;Comm&Mgmt;No;89;Mkt&Fin;60.5;Yes;216000
117;M;68.20;Central;72.80;Central;Commerce;66.60;Comm&Mgmt;Yes;96;Mkt&Fin;70.85;Yes;300000
118;M;77.00;Others;75.00;Others;Science;73.00;Sci&Tech;No;80;Mkt&Fin;67.05;Yes;240000
